Male Names,Mcount,Female Names,Fcount,Last Names,Lcount
MOHAMED,16328,FANNY,29391,POLLARD,35749
DELMER,16328,JANELL,29391,ALFARO,35725
DARIO,16328,INES,29391,HESTER,35642
REYES,16328,CONCETTA,29391,PROCTOR,35636
DEE,16328,BERTIE,29391,LU,35628
MAC,16328,ALBA,29391,HINTON,35606
JONAH,16328,BRIGITTE,29391,NOVAK,35461
JERROLD,16328,ALYSON,29391,GOOD,35446
ROBT,16328,VONDA,26126,MADDEN,35438
HANK,16328,PANSY,26126,MCCANN,35408
SUNG,16328,ELBA,26126,TERRELL,35408
RUPERT,16328,NOELLE,26126,JARVIS,35350
ROLLAND,16328,LETITIA,26126,DICKSON,35312
KENTON,16328,KITTY,26126,REYNA,35291
DAMION,16328,DEANN,26126,CANTRELL,35266
CHI,16328,BRANDIE,26126,MAYO,35228
ANTONE,16328,LOUELLA,26126,BRANCH,35225
WALDO,16328,LETA,26126,HENDRIX,35194
FREDRIC,16328,FELECIA,26126,ROLLINS,35132
BRADLY,16328,SHARLENE,26126,ROWLAND,35121
QUINN,16328,LESA,26126,WHITNEY,35118
KIP,16328,BEVERLEY,26126,DUKE,35053
BURL,16328,ROBERT,26126,ODOM,35020
WALKER,16328,ISABELLA,26126,DAUGHERTY,34987
TYREE,16328,HERMINIA,26126,TRAVIS,34985
JEFFEREY,16328,TERRA,26126,TANG,34961
AHMED,16328,CELINA,26126,ARCHER,34949
